"EEID"	"Full Name"	"Job Title"	"Department"	"Business Unit"	"Gender"	"Ethnicity"	"Age"	"Hire Date"	"Annual Salary"	"Bonus %"	"Country"	"City"	"Exit Date"
"E02387"	"Emily Davis"	"Sr. Manger"	"IT"	"Research & Development"	"Female"	"Black"	"55"	"Fri Apr 08 2016 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"141604"	"0.15"	"United States"	"Seattle"	"Sat Oct 16 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E04105"	"Theodore Dinh"	"Technical Architect"	"IT"	"Manufacturing"	"Male"	"Asian"	"59"	"Sat Nov 29 1997 00:00:00 GMT-0500 (アメリカ東部標準時)"	"99975"	"0"	"China"	"Chongqing"	""
"E02572"	"Luna Sanders"	"Director"	"Finance"	"Speciality Products"	"Female"	"Caucasian"	"50"	"Thu Oct 26 2006 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"163099"	"0.2"	"United States"	"Chicago"	""
"E02832"	"Penelope Jordan"	"Computer Systems Manager"	"IT"	"Manufacturing"	"Female"	"Caucasian"	"26"	"Fri Sep 27 2019 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"84913"	"0.07"	"United States"	"Chicago"	""
"E01639"	"Austin Vo"	"Sr. Analyst"	"Finance"	"Manufacturing"	"Male"	"Asian"	"55"	"Mon Nov 20 1995 00:00:00 GMT-0500 (アメリカ東部標準時)"	"95409"	"0"	"United States"	"Phoenix"	""
"E00644"	"Joshua Gupta"	"Account Representative"	"Sales"	"Corporate"	"Male"	"Asian"	"57"	"Tue Jan 24 2017 00:00:00 GMT-0500 (アメリカ東部標準時)"	"50994"	"0"	"China"	"Chongqing"	""
"E01550"	"Ruby Barnes"	"Manager"	"IT"	"Corporate"	"Female"	"Caucasian"	"27"	"Wed Jul 01 2020 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"119746"	"0.1"	"United States"	"Phoenix"	""
"E04332"	"Luke Martin"	"Analyst"	"Finance"	"Manufacturing"	"Male"	"Black"	"25"	"Sat May 16 2020 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"41336"	"0"	"United States"	"Miami"	"Thu May 20 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E04533"	"Easton Bailey"	"Manager"	"Accounting"	"Manufacturing"	"Male"	"Caucasian"	"29"	"Fri Jan 25 2019 00:00:00 GMT-0500 (アメリカ東部標準時)"	"113527"	"0.06"	"United States"	"Austin"	""
"E03838"	"Madeline Walker"	"Sr. Analyst"	"Finance"	"Speciality Products"	"Female"	"Caucasian"	"34"	"Wed Jun 13 2018 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"77203"	"0"	"United States"	"Chicago"	""
"E00591"	"Savannah Ali"	"Sr. Manger"	"Human Resources"	"Manufacturing"	"Female"	"Asian"	"36"	"Wed Feb 11 2009 00:00:00 GMT-0500 (アメリカ東部標準時)"	"157333"	"0.15"	"United States"	"Miami"	""
"E03344"	"Camila Rogers"	"Controls Engineer"	"Engineering"	"Speciality Products"	"Female"	"Caucasian"	"27"	"Thu Oct 21 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"109851"	"0"	"United States"	"Seattle"	""
"E00530"	"Eli Jones"	"Manager"	"Human Resources"	"Manufacturing"	"Male"	"Caucasian"	"59"	"Sun Mar 14 1999 00:00:00 GMT-0500 (アメリカ東部標準時)"	"105086"	"0.09"	"United States"	"Austin"	""
"E04239"	"Everleigh Ng"	"Sr. Manger"	"Finance"	"Research & Development"	"Female"	"Asian"	"51"	"Thu Jun 10 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"146742"	"0.1"	"China"	"Shanghai"	""
"E03496"	"Robert Yang"	"Sr. Analyst"	"Accounting"	"Speciality Products"	"Male"	"Asian"	"31"	"Sat Nov 04 2017 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"97078"	"0"	"United States"	"Austin"	"Mon Mar 09 2020 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E00549"	"Isabella Xi"	"Vice President"	"Marketing"	"Research & Development"	"Female"	"Asian"	"41"	"Wed Mar 13 2013 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"249270"	"0.3"	"United States"	"Seattle"	""
"E00163"	"Bella Powell"	"Director"	"Finance"	"Research & Development"	"Female"	"Black"	"65"	"Mon Mar 04 2002 00:00:00 GMT-0500 (アメリカ東部標準時)"	"175837"	"0.2"	"United States"	"Phoenix"	""
"E00884"	"Camila Silva"	"Sr. Manger"	"Marketing"	"Speciality Products"	"Female"	"Latino"	"64"	"Mon Dec 01 2003 00:00:00 GMT-0500 (アメリカ東部標準時)"	"154828"	"0.13"	"United States"	"Seattle"	""
"E04116"	"David Barnes"	"Director"	"IT"	"Corporate"	"Male"	"Caucasian"	"64"	"Sun Nov 03 2013 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"186503"	"0.24"	"United States"	"Columbus"	""
"E04625"	"Adam Dang"	"Director"	"Sales"	"Research & Development"	"Male"	"Asian"	"45"	"Tue Jul 09 2002 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"166331"	"0.18"	"China"	"Chongqing"	""
"E03680"	"Elias Alvarado"	"Sr. Manger"	"IT"	"Manufacturing"	"Male"	"Latino"	"56"	"Mon Jan 09 2012 00:00:00 GMT-0500 (アメリカ東部標準時)"	"146140"	"0.1"	"Brazil"	"Manaus"	""
"E04732"	"Eva Rivera"	"Director"	"Sales"	"Manufacturing"	"Female"	"Latino"	"36"	"Fri Apr 02 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"151703"	"0.21"	"United States"	"Miami"	""
"E03484"	"Logan Rivera"	"Director"	"IT"	"Research & Development"	"Male"	"Latino"	"59"	"Fri May 24 2002 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"172787"	"0.28"	"Brazil"	"Rio de Janerio"	""
"E00671"	"Leonardo Dixon"	"Analyst"	"Sales"	"Speciality Products"	"Male"	"Caucasian"	"37"	"Thu Sep 05 2019 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"49998"	"0"	"United States"	"Seattle"	""
"E02071"	"Mateo Her"	"Vice President"	"Sales"	"Speciality Products"	"Male"	"Asian"	"44"	"Sun Mar 02 2014 00:00:00 GMT-0500 (アメリカ東部標準時)"	"207172"	"0.31"	"China"	"Chongqing"	""
"E02206"	"Jose Henderson"	"Director"	"Human Resources"	"Speciality Products"	"Male"	"Black"	"41"	"Fri Apr 17 2015 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"152239"	"0.23"	"United States"	"Columbus"	""
"E04545"	"Abigail Mejia"	"Quality Engineer"	"Engineering"	"Corporate"	"Female"	"Latino"	"56"	"Sat Feb 05 2005 00:00:00 GMT-0500 (アメリカ東部標準時)"	"98581"	"0"	"Brazil"	"Rio de Janerio"	""
"E00154"	"Wyatt Chin"	"Vice President"	"Engineering"	"Speciality Products"	"Male"	"Asian"	"43"	"Mon Jun 07 2004 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"246231"	"0.31"	"United States"	"Seattle"	""
"E03343"	"Carson Lu"	"Engineering Manager"	"Engineering"	"Speciality Products"	"Male"	"Asian"	"64"	"Wed Dec 04 1996 00:00:00 GMT-0500 (アメリカ東部標準時)"	"99354"	"0.12"	"China"	"Beijing"	""
"E00304"	"Dylan Choi"	"Vice President"	"IT"	"Corporate"	"Male"	"Asian"	"63"	"Fri May 11 2012 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"231141"	"0.34"	"China"	"Beijing"	""
"E02594"	"Ezekiel Kumar"	"IT Coordinator"	"IT"	"Research & Development"	"Male"	"Asian"	"28"	"Sun Jun 25 2017 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"54775"	"0"	"United States"	"Columbus"	""
"E00402"	"Dominic Guzman"	"Analyst"	"Finance"	"Manufacturing"	"Male"	"Latino"	"65"	"Sun May 16 2004 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"55499"	"0"	"Brazil"	"Manaus"	""
"E01994"	"Angel Powell"	"Analyst II"	"Sales"	"Research & Development"	"Male"	"Caucasian"	"61"	"Fri Jul 11 2008 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"66521"	"0"	"United States"	"Seattle"	""
"E03549"	"Mateo Vu"	"Account Representative"	"Sales"	"Speciality Products"	"Male"	"Asian"	"30"	"Thu Sep 29 2016 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"59100"	"0"	"China"	"Chongqing"	""
"E03247"	"Caroline Jenkins"	"Analyst"	"Finance"	"Research & Development"	"Female"	"Caucasian"	"27"	"Sun May 06 2018 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"49011"	"0"	"United States"	"Chicago"	""
"E02074"	"Nora Brown"	"Enterprise Architect"	"IT"	"Manufacturing"	"Female"	"Caucasian"	"32"	"Tue Feb 11 2014 00:00:00 GMT-0500 (アメリカ東部標準時)"	"99575"	"0"	"United States"	"Austin"	""
"E04152"	"Adeline Huang"	"Controls Engineer"	"Engineering"	"Manufacturing"	"Female"	"Asian"	"34"	"Mon Dec 16 2019 00:00:00 GMT-0500 (アメリカ東部標準時)"	"99989"	"0"	"China"	"Chengdu"	""
"E01628"	"Jackson Perry"	"Vice President"	"Marketing"	"Research & Development"	"Male"	"Caucasian"	"27"	"Sun Oct 20 2019 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"256420"	"0.3"	"United States"	"Phoenix"	""
"E04285"	"Riley Padilla"	"Technical Architect"	"IT"	"Manufacturing"	"Female"	"Latino"	"35"	"Wed May 15 2013 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"78940"	"0"	"United States"	"Miami"	""
"E01417"	"Leah Pena"	"Enterprise Architect"	"IT"	"Corporate"	"Female"	"Latino"	"57"	"Mon Jan 03 1994 00:00:00 GMT-0500 (アメリカ東部標準時)"	"82872"	"0"	"Brazil"	"Manaus"	""
"E01754"	"Owen Lam"	"Sr. Business Partner"	"Human Resources"	"Speciality Products"	"Male"	"Asian"	"30"	"Mon May 29 2017 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"86317"	"0"	"China"	"Chengdu"	"Sun Jul 16 2017 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E03749"	"Kennedy Foster"	"Manager"	"Marketing"	"Speciality Products"	"Female"	"Caucasian"	"53"	"Sat Nov 23 2013 00:00:00 GMT-0500 (アメリカ東部標準時)"	"113135"	"0.05"	"United States"	"Austin"	""
